#contig,AI05,AI15,AI20,AI28,AI40,AII05,AII15,AII20,AII28,AII40,AIII05,AIII15,AIII20,AIII28,AIII40
NODE_626_length_12694_cov_72_5538,0.0,0.0,257.973604585,10.8825695223,5.58966003537,0.0,0.0,145.678524906,20.330431286,4.98694563086,0.0,0.0,142.686148592,0.0,5.28111229827
NODE_830_length_10600_cov_3_62674,0.0,0.0,12.0261003882,19.2590583659,0.0,0.0,0.0,0.0,28.361513258,0.0,0.0,0.0,0.0,0.0,0.0
NODE_772_length_11179_cov_3_92916,0.0,0.0,14.7513497485,0.0,0.0,0.0,0.0,8.97993402839,0.0,0.0,0.0,0.0,12.2859431889,0.0,0.0
NODE_889_length_10164_cov_4_08141,0.0,0.0,14.6763428854,0.0,0.0,0.0,0.0,11.5612106114,0.0,0.0,0.0,0.0,14.824057201,0.0,0.0
NODE_710_length_11741_cov_9_12708,0.0,0.0,32.9280129132,7.89587063131,0.0,0.0,0.0,13.7789271124,16.6799394805,0.0,0.0,0.0,14.824057201,0.0,0.0
NODE_808_length_10865_cov_4_70259,0.0,0.0,16.9515510669,0.0,0.0,0.0,0.0,10.2523943158,0.0,0.0,0.0,0.0,16.3689961649,0.0,0.0
NODE_610_length_12882_cov_4_37273,0.0,0.0,14.6513405977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE_281_length_20686_cov_5_15234,0.0,0.0,18.576699768,0.0,0.0,0.0,0.0,10.9795144801,0.0,0.0,0.0,0.0,9.26963378325,0.0,0.0
NODE_425_length_16142_cov_10_0392,0.0,0.0,35.9282874383,0.0,0.0,0.0,0.0,14.7241833259,0.0,0.0,0.0,0.0,14.2722932853,0.0,0.0
NODE_722_length_11640_cov_5_47087,0.0,0.0,18.5266951926,0.0,0.0,0.0,0.0,19.195972336,0.0,0.0,0.0,0.0,26.5214522132,0.0,0.0
NODE_440_length_15915_cov_10_792,0.0,0.0,37.928470455,0.0,0.0,0.0,0.0,43.9907699366,0.0,0.0,0.0,0.0,50.7254959806,0.0,0.0
NODE_773_length_11165_cov_4_42601,0.0,0.0,16.0764709971,0.0,0.0,0.0,0.0,11.1976505293,0.0,0.0,0.0,0.0,15.1918998114,0.0,0.0
NODE_846_length_10486_cov_4_75563,0.0,0.0,17.1015647932,7.5182420359,0.0,0.0,0.0,11.5975666197,12.6924792006,0.0,0.0,0.0,14.6769201568,0.0,0.0
NODE_601_length_13061_cov_8_49062,0.0,0.0,30.3277749914,0.0,0.0,0.0,0.0,19.195972336,0.0,0.0,0.0,0.0,18.6128360886,0.0,0.0
NODE_599_length_13066_cov_24_7577,0.0,0.0,85.2077965134,23.6876118939,5.51412408894,0.0,18.8529257174,61.2598738374,44.8729685013,6.12978733794,0.0,11.9402832593,74.4881286154,0.0,0.0
NODE_410_length_16485_cov_17_8035,0.0,0.0,59.005398994,0.0,0.0,0.0,29.7522733977,56.3154567205,0.0,0.0,0.0,18.1339061264,73.311032262,0.0,0.0
NODE_213_length_24446_cov_7_59522,0.0,0.0,27.6525302065,9.88700322529,10.3106566869,0.0,0.0,9.08900205302,15.1635813459,11.1167329688,0.0,0.0,9.6374763937,0.0,8.64182012444
NODE_839_length_10529_cov_5_06263,0.0,0.0,18.926731796,10.6422604161,0.0,0.0,0.0,0.0,20.5550769355,0.0,0.0,0.0,0.0,0.0,0.0
NODE_422_length_16200_cov_5_97269,0.0,0.0,22.6270703769,56.47263995,28.4015158554,0.0,0.0,0.0,96.3168222525,27.4628325366,0.0,0.0,0.0,0.0,25.61994148
NODE_667_length_12199_cov_12_8719,0.0,0.0,42.3288730919,10.9512292669,14.4651337402,0.0,0.0,36.4287202285,19.768817162,16.1383101665,0.0,0.0,45.2446410849,0.0,15.9742735634
NODE_765_length_11205_cov_5_93211,0.0,0.0,21.8770017457,0.0,0.0,0.0,0.0,11.0522264965,0.0,0.0,0.0,0.0,9.45355508848,0.0,0.0
NODE_305_length_19644_cov_6_80474,0.0,0.0,20.7518987987,0.0,0.0,0.0,0.0,18.5779201964,0.0,0.0,0.0,0.0,25.3443558598,0.0,0.0
NODE_242_length_22730_cov_14_2728,0.0,0.0,50.6546348991,6.1450471435,0.0,0.0,0.0,11.7429906525,13.7033846237,0.0,0.0,0.0,7.87183186356,0.0,0.0
NODE_623_length_12714_cov_14_4169,0.0,0.0,52.0297607231,0.0,0.0,0.0,28.9106249282,53.7705361457,0.0,0.0,0.0,18.9639792941,75.812362013,0.0,0.0
NODE_826_length_10637_cov_5_42119,0.0,0.0,20.5518804971,0.0,0.0,0.0,0.0,11.7066346443,0.0,0.0,0.0,0.0,12.4698644941,0.0,0.0
NODE_857_length_10393_cov_3_75111,0.0,0.0,14.0762879804,0.0,0.0,0.0,0.0,10.3251063322,0.0,0.0,0.0,0.0,12.2123746668,0.0,0.0
NODE_382_length_17284_cov_14_9064,0.0,0.0,37.503431564,0.0,0.0,0.0,0.0,26.0672578881,0.0,0.0,0.0,0.0,33.5472460727,0.0,0.0
NODE_821_length_10735_cov_23_581,0.0,0.0,82.4575448654,0.0,13.5964703563,0.0,0.0,46.6811145443,11.2322824784,16.2422048672,0.0,0.0,43.626133599,0.0,11.8279457259
NODE_479_length_15163_cov_9_4027,0.0,0.0,33.5780723936,0.0,0.0,0.0,0.0,16.0329996215,0.0,0.0,0.0,0.0,14.78727294,0.0,0.0
NODE_733_length_11581_cov_3_91749,0.0,0.0,14.0762879804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE_816_length_10826_cov_11_0785,0.0,0.0,39.1285802651,0.0,0.0,0.0,20.409975386,37.4103324502,0.0,0.0,0.0,13.6004295948,40.9776668037,0.0,0.0
NODE_392_length_16855_cov_8_24774,0.0,0.0,30.102754402,0.0,0.0,0.0,0.0,13.5971470713,0.0,0.0,0.0,0.0,12.4330802331,0.0,0.0
NODE_539_length_13946_cov_7_94536,0.0,0.0,28.3275919747,0.0,0.0,0.0,18.0533596713,30.175486816,0.0,5.33326129967,0.0,9.76932266668,43.9204076873,0.0,0.0
NODE_468_length_15308_cov_4_22959,0.0,0.0,15.226393215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE_497_length_14827_cov_22_2558,0.0,0.0,72.6316457956,0.0,0.0,0.0,0.0,79.9832180666,0.0,0.0,0.0,0.0,59.7376399365,0.0,0.0
NODE_262_length_21642_cov_15_0423,0.0,77.4462357409,44.6540858489,0.0,0.0,0.0,103.691091446,17.8508000321,0.0,0.0,0.0,89.3286432071,19.3485213095,0.0,0.0
NODE_119_length_34019_cov_9_35835,0.0,0.0,17.4015922457,0.0,0.0,0.0,108.82514711,32.1750672677,0.0,0.0,0.0,70.364663913,42.4122529845,0.0,0.0
NODE_597_length_13079_cov_3_98948,0.0,0.0,14.4263200083,0.0,0.0,0.0,0.0,14.1424871945,0.0,0.0,0.0,0.0,14.4194303295,0.0,0.0
NODE_829_length_10617_cov_13_498,0.0,0.0,47.4543420723,0.0,0.0,0.0,0.0,15.9602876051,0.0,0.0,0.0,0.0,12.359511711,0.0,0.0
NODE_873_length_10312_cov_3_17471,0.0,0.0,6.15056277649,0.0,0.0,0.0,17.67461786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE_629_length_12668_cov_5_37636,0.0,0.0,10.8009882904,0.0,0.0,0.0,0.0,8.39823789699,0.0,0.0,0.0,0.0,12.2123746668,0.0,0.0
NODE_169_length_28016_cov_4_99417,0.0,0.0,18.2016654524,0.0,0.0,0.0,0.0,14.0697751781,0.0,0.0,0.0,0.0,22.9533788919,0.0,0.0
NODE_837_length_10536_cov_4_17937,0.0,0.0,15.3764069412,0.0,0.0,0.0,0.0,14.1788432027,0.0,0.0,0.0,0.0,13.168765454,0.0,0.0
NODE_212_length_24490_cov_9_83671,0.0,0.0,34.8031844914,0.0,0.0,0.0,0.0,8.83450999554,35.381689807,0.0,0.0,0.0,8.64430134549,0.0,0.0
NODE_692_length_11981_cov_4_62443,0.0,0.0,16.3764984496,0.0,0.0,0.0,0.0,17.1600358761,0.0,0.0,0.0,0.0,19.3117370484,0.0,0.0
NODE_295_length_19883_cov_15_4225,0.0,0.0,54.705005508,0.0,0.0,0.0,0.0,58.6422412461,0.0,0.0,0.0,0.0,71.692524776,0.0,0.0
NODE_892_length_10115_cov_12_3417,0.0,0.0,32.9530152009,0.0,0.0,0.0,36.9483678122,30.0300627832,0.0,0.0,0.0,31.9258910676,36.232497129,0.0,0.0
NODE_562_length_13624_cov_52_1089,0.0,0.0,174.64097965,0.0,0.0,0.0,0.0,156.767107411,0.0,0.0,0.0,0.0,217.652472601,0.0,0.0
NODE_32_length_47310_cov_24_9945,0.0,0.0,85.6078331167,6.00772765426,0.0,0.0,24.4078056162,93.4349411051,9.94056999341,4.67526152894,0.0,20.9433845403,75.812362013,0.0,0.0
NODE_748_length_11344_cov_7_10798,0.0,0.0,25.7023517652,15.3111230503,33.6134961586,0.0,0.0,14.6878273177,26.3958638243,37.2289343971,0.0,0.0,18.097856434,0.0,31.6866737896
NODE_764_length_11212_cov_9_48239,0.0,0.0,33.9281044216,5.59576918654,12.0479834546,0.0,10.5626882925,32.6476953745,10.3336998802,12.6751534784,0.0,0.0,39.1752380126,0.0,8.68546568063
NODE_144_length_30602_cov_8_85432,0.0,0.0,31.052841335,0.0,0.0,0.0,0.0,8.28916987236,0.0,0.0,0.0,0.0,6.1797558555,0.0,0.0
NODE_451_length_13553_cov_3_63543,0.0,0.0,3.65033400556,18.3321518136,6.0051077407,0.0,0.0,0.0,29.9901942174,5.43715600032,0.0,0.0,0.0,0.0,0.0
NODE_202_length_21869_cov_71_835,0.0,0.0,0.0,351.160263859,0.0,0.0,0.0,0.0,600.477821297,6.40683987299,0.0,0.0,0.0,67.804141357,0.0
NODE_419_length_14237_cov_6_2475,0.0,0.0,0.0,16.5469984534,0.0,0.0,0.0,0.0,19.4318486877,0.0,0.0,0.0,0.0,0.0,0.0
NODE_612_length_11150_cov_4_21974,0.0,0.0,0.0,21.0442117261,98.4233381903,0.0,0.0,0.0,29.8217099802,115.149959879,0.0,0.0,0.0,0.0,90.8700479752
NODE_654_length_10660_cov_4_2231,0.0,0.0,0.0,14.281226881,0.0,0.0,0.0,0.0,17.2977150168,0.0,0.0,0.0,0.0,0.0,0.0
NODE_696_length_10182_cov_3_58398,0.0,0.0,0.0,18.2291621966,10.3106566869,0.0,0.0,0.0,22.9700176684,9.76610186044,0.0,0.0,0.0,6.99566537811,13.3991857485
NODE_430_length_14027_cov_5_42807,0.0,0.0,0.0,26.4340016787,6.72269923172,0.0,0.0,0.0,37.4596620655,10.6318910325,0.0,0.0,0.0,8.14879703384,12.4389835125
NODE_74_length_36744_cov_27_7162,0.0,0.0,0.0,136.941860645,0.0,0.0,0.0,0.0,222.904645784,0.0,0.0,0.0,0.0,14.2988325311,0.0
NODE_303_length_17198_cov_4_27218,0.0,0.0,0.0,15.7574113903,12.652271026,0.0,0.0,0.0,23.7001160295,16.1383101665,0.0,0.0,0.0,0.0,12.6572112934
NODE_389_length_14976_cov_24_3098,0.0,0.0,5.6255147346,116.755895726,31.0830419534,0.0,0.0,0.0,193.419904278,30.9952523585,0.0,0.0,0.0,19.8723022004,31.5557371211
NODE_655_length_10650_cov_3_24521,0.0,0.0,0.0,16.2380296026,10.2351207404,0.0,0.0,0.0,22.5768877816,8.48473388585,0.0,0.0,0.0,0.0,7.28880788274
NODE_265_length_18594_cov_5_36286,0.0,0.0,0.0,21.593489683,0.0,0.0,0.0,0.0,43.0758033048,0.0,0.0,0.0,0.0,0.0,0.0
NODE_588_length_11557_cov_5_70066,0.0,0.0,0.0,28.1848251665,29.3834831589,0.0,0.0,0.0,48.9727516059,32.1727256325,0.0,0.0,0.0,0.0,26.7547259408
NODE_433_length_13919_cov_13_7625,0.0,0.0,0.0,67.0462406215,56.3875840054,0.0,0.0,0.0,113.109084558,63.6528199273,0.0,0.0,0.0,11.339127948,48.9266684823
NODE_294_length_17524_cov_8_25731,0.0,0.0,0.0,40.8525480489,0.0,0.0,0.0,0.0,103.505483039,0.0,0.0,0.0,0.0,0.0,0.0
NODE_207_length_20989_cov_43_2454,0.0,0.0,0.0,112.121362965,43.131025408,0.0,0.0,0.0,208.4711628,47.722299162,0.0,0.0,0.0,0.0,51.1525918477
NODE_457_length_13290_cov_19_3278,0.0,0.0,0.0,67.5955185785,10.5750324993,0.0,0.0,0.0,115.467863878,11.359153937,0.0,0.0,0.0,8.95598919285,0.0
NODE_340_length_16113_cov_12_1584,0.0,0.0,0.0,59.8712973087,0.0,0.0,0.0,0.0,106.706683545,0.0,0.0,0.0,0.0,5.84253372237,0.0
NODE_571_length_11680_cov_4_77772,0.0,0.0,0.0,23.584622277,0.0,0.0,0.0,0.0,37.9089533647,5.67957696848,0.0,0.0,0.0,0.0,0.0
NODE_624_length_11004_cov_3_12257,0.0,0.0,0.0,15.0708139441,0.0,0.0,0.0,0.0,30.6079697537,0.0,0.0,0.0,0.0,0.0,0.0
NODE_422_length_14205_cov_6_03102,0.0,0.0,0.0,27.9101861881,0.0,0.0,0.0,0.0,40.1554098604,0.0,0.0,0.0,0.0,0.0,0.0
NODE_309_length_16991_cov_5_8169,0.0,0.0,0.0,21.8681286615,44.6795123097,0.0,0.0,0.0,31.0572610528,42.0427221935,0.0,0.0,0.0,0.0,39.368291678
NODE_618_length_11050_cov_3_77635,0.0,0.0,0.0,12.9766917332,0.0,0.0,0.0,0.0,19.9373013992,0.0,0.0,0.0,0.0,0.0,0.0
NODE_652_length_10696_cov_3_61207,0.0,0.0,0.0,12.2214345424,0.0,0.0,0.0,0.0,22.6892106064,0.0,0.0,0.0,0.0,0.0,0.0
NODE_360_length_15590_cov_32_6342,0.0,0.0,6.90063140777,80.9155090348,10.0085129012,0.0,0.0,0.0,115.74867094,8.34620761832,0.0,0.0,0.0,12.5306973256,9.12192124247
NODE_637_length_10890_cov_3_49469,0.0,0.0,50.229596008,17.0276166658,0.0,0.0,13.1297161246,38.6100807212,23.1946633179,6.40683987299,0.0,0.0,49.3644783219,0.0,0.0
NODE_282_length_18021_cov_11_8005,0.0,0.0,0.0,61.3818116904,0.0,0.0,0.0,0.0,118.388257323,0.0,0.0,0.0,0.0,0.0,0.0
NODE_98_length_31974_cov_7_32877,0.0,0.0,0.0,28.4251342727,0.0,0.0,0.0,0.0,48.0741690077,0.0,0.0,0.0,0.0,0.0,0.0
NODE_276_length_18317_cov_9_73984,0.0,0.0,15.1013817764,47.4782134048,0.0,0.0,0.0,5.92602933857,94.519657056,0.0,0.0,0.0,8.57073282341,0.0,0.0
NODE_453_length_13501_cov_6_34494,0.0,0.0,0.0,31.9267812483,0.0,0.0,0.0,0.0,55.5997982682,0.0,0.0,0.0,0.0,0.0,0.0
NODE_455_length_13413_cov_6_65833,0.0,0.0,0.0,33.0596670346,19.072826472,0.0,0.0,0.0,62.1145221057,22.995360409,0.0,0.0,0.0,0.0,16.4980202376
NODE_545_length_11959_cov_19_266,0.0,0.0,0.0,70.3419083633,0.0,0.0,0.0,0.0,100.753573831,0.0,0.0,0.0,0.0,0.0,0.0
NODE_235_length_19641_cov_5_63413,0.0,0.0,0.0,28.5281238896,0.0,0.0,0.0,0.0,54.0272787212,0.0,0.0,0.0,0.0,0.0,0.0
NODE_630_length_10963_cov_17_6285,0.0,0.0,0.0,83.3186000965,13.1432546778,0.0,0.0,0.0,129.058925677,13.090732281,0.0,0.0,0.0,6.99566537811,11.7843001697
NODE_325_length_16496_cov_4_7724,0.0,0.0,5.3504895698,23.8935911278,18.8084506595,0.0,0.0,0.0,35.9994653434,29.3329371482,0.0,0.0,0.0,0.0,30.9883448907
NODE_673_length_10460_cov_4_54531,0.0,0.0,0.0,22.6233858523,74.9316588525,0.0,0.0,0.0,31.5627137644,80.9339718009,0.0,0.0,0.0,4.80471523222,81.4862533956
NODE_78_length_35872_cov_31_2723,0.0,0.0,0.0,138.864333494,40.8649470153,0.0,0.0,0.0,255.19745791,47.8261938627,0.0,0.0,0.0,23.0626331146,30.2900159917
NODE_111_length_30379_cov_14_614,0.0,0.0,0.0,57.2622270131,8.00681032093,0.0,0.0,0.0,71.1565095008,9.97389126173,0.0,0.0,0.0,13.6838289814,7.07058010182
NODE_557_length_11849_cov_14_2166,0.0,0.0,0.0,45.3497613216,11.9724475082,0.0,0.0,0.0,77.6150719259,12.0864168415,0.0,0.0,0.0,0.0,11.4351357202
NODE_587_length_11564_cov_5_23573,0.0,0.0,8.45077324575,25.8847237218,7.85573842808,0.0,0.0,0.0,57.28464064,10.0777859624,0.0,0.0,0.0,0.0,7.85620011313
NODE_341_length_16112_cov_5_13707,0.0,0.0,5.05046211728,25.6787444879,43.0932574348,0.0,0.0,0.0,46.3331652235,45.401984181,0.0,0.0,0.0,0.0,37.9716338801
NODE_359_length_15655_cov_14_6778,0.0,0.0,16.7265304775,44.0108963015,20.2814016148,0.0,0.0,14.5424032848,76.9411349772,27.0472537341,0.0,0.0,13.5366080644,7.03410309996,17.065412468
NODE_542_length_11971_cov_6_59265,0.0,0.0,0.0,21.9024585338,0.0,0.0,0.0,0.0,39.4253114993,0.0,0.0,0.0,0.0,0.0,0.0
NODE_349_length_15895_cov_15_0705,0.0,0.0,0.0,74.1525241897,80.89899862,0.0,0.0,0.0,112.098179135,82.353866043,0.0,0.0,0.0,14.9522738027,71.7969399228
NODE_208_length_20964_cov_5_25291,0.0,0.0,0.0,13.2513307117,0.0,0.0,0.0,0.0,19.0948802133,6.3722083061,0.0,0.0,0.0,0.0,6.06673230958
NODE_481_length_12926_cov_4_40471,0.0,0.0,3.42531341618,22.039778023,0.0,0.0,0.0,0.0,36.6172408797,0.0,0.0,0.0,0.0,0.0,0.0
